FECHA_CORTE,UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_EMPRESA,TIPO_SERVICIO,FABRICANTE,MODELO_AERONAVE,NRO_COLA,TIPO _TREN_ATERRIZAJE,NRO_PARTE,FECHA_INICIO,FECHA_FIN,PERIODO_ATENCION,INGRESOS $
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,PANAMERICAN AVIATION SALES CORP.,PIEZAS DIVERSAS,NSK,NSK,,PIEZAS DIVERSAS,NSK,13-09-23,15-09-23,2,""3,261.90"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR L/H,161A1100-67,21/09/23,31/10/23,40,""11,220.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,MAIN LANDING GEAR R/H,161A1100-68,21/09/23,31/10/23,40,""11,220.00"""
"20231130,76106,LIMA ,CALLAO ,CALLAO,GOL LINHAS AEREAS S.A.,AERONAVE ,BOEING,B737-800,PR-GUK,BOEING TASK CARDS + CPCP + AD'S & SB'S + HARD TIME & FORECAST,B737-800,25-09-23,20-10-23,25,""243,860.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 767,,MAIN LANDING GEAR R/H,161T0000-792,03/10/23,31/10/23,28,""28,050.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 767,,MAIN LANDING GEAR L/H,161T0000-791,03/10/23,31/10/23,28,""28,050.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 767,,NOSE LANDING GEAR,162T0000-613,03/10/23,31/10/23,28,""27,930.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,LH BODY GEAR,163U1500-113,04/10/23,31/10/23,27,""20,700.00"""
"20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 747,,LH WING GEAR,161U1500-205,04/10/23,31/10/23,27,""20,700.00"""
20231130,150115,LIMA ,LIMA ,SANTIAGO DE SURCO,AEROSPACE ROTABLES INC,TREN DE ATERRIZAJE ,BOEING,BOEING 737 NG,,INNER CYLINDER,161A1126-1,30/10/23,31/10/23,1,900.00
